cpd_index,r1,r2,r3,smiles,expt_t_max_count,r1_reagent,r2_reagent,r3_reagent,protein,expt,mw,log_p
OpenDEL0031-22-36-4,22,36,4,CNC(=O)[C@@H]1CCN(c2cc(-c3ccc4nc[nH]c4c3)ccc2CNc2ccc(F)cc2F)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1=NC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=C2)[NH]1,FC1C=CC(N)=C(F)C=1,neg_control,expt007,461.5160000000002,4.6925000000000034
OpenDEL0031-22-36-40,22,36,40,CNC(=O)[C@@H]1CCN(c2cc(-c3ccc4nc[nH]c4c3)ccc2CNc2cc(F)c(C)cc2F)C1,11,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1=NC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=C2)[NH]1,CC1C=C(F)C(N)=CC=1F,neg_control,expt007,475.54300000000023,5.000920000000003
OpenDEL0031-22-36-435,22,36,435,CNC(=O)[C@@H]1CCN(c2cc(-c3ccc4nc[nH]c4c3)ccc2CNc2cccc(F)c2C)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1=NC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=C2)[NH]1,CC1C(N)=CC=CC=1F,neg_control,expt007,457.5530000000002,4.861820000000003
OpenDEL0031-22-36-589,22,36,589,CNC(=O)[C@@H]1CCN(c2cc(-c3ccc4nc[nH]c4c3)ccc2CNc2cccc(C(C)C)n2)C1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1=NC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=C2)[NH]1,CC(C1C=CC=C(N)N=1)C,neg_control,expt007,468.60500000000025,4.932700000000004
OpenDEL0031-22-36-931,22,36,931,CNC(=O)[C@@H]1CCN(c2cc(-c3ccc4nc[nH]c4c3)ccc2CN2CCCCc3ccccc32)C1,12,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1=NC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=C2)[NH]1,C1CCC2=C(C=CC=C2)NC1,neg_control,expt007,479.6280000000004,5.145100000000005
OpenDEL0031-22-369-390,22,369,390,CNC(=O)[C@@H]1CCN(c2cc(-c3cnc4occc4c3)ccc2CNc2ccc(F)c(C)c2)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1OC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=N2)C=1,NC1C=CC(F)=C(C)C=1,neg_control,expt007,458.5370000000002,5.126720000000004
OpenDEL0031-22-369-635,22,369,635,CNC(=O)[C@@H]1CCN(c2cc(-c3cnc4occc4c3)ccc2CNc2cc(F)ccc2F)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1OC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=N2)C=1,FC1C=CC(F)=C(N)C=1,neg_control,expt007,462.50000000000017,4.957400000000003
OpenDEL0031-22-369-904,22,369,904,CNC(=O)[C@@H]1CCN(c2cc(-c3cnc4occc4c3)ccc2CNc2ccc(F)cc2Cl)C1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1OC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=N2)C=1,FC1C=CC(N)=C(Cl)C=1,neg_control,expt007,478.95500000000015,5.471700000000005
OpenDEL0031-22-369-931,22,369,931,CNC(=O)[C@@H]1CCN(c2cc(-c3cnc4occc4c3)ccc2CN2CCCCc3ccccc32)C1,8,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1OC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=N2)C=1,C1CCC2=C(C=CC=C2)NC1,neg_control,expt007,480.61200000000036,5.4100000000000055
OpenDEL0031-22-369-951,22,369,951,CNC(=O)[C@@H]1CCN(c2cc(-c3cnc4occc4c3)ccc2CNc2cc(F)c(F)cc2C)C1,8,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1OC2=C(C=C(B3OC(C)(C)C(C)(C)O3)C=N2)C=1,CC1C=C(F)C(F)=CC=1N,neg_control,expt007,476.5270000000002,5.265820000000004
OpenDEL0031-22-378-1372,22,378,1372,CNC(=O)[C@@H]1CCN(c2cc(-c3cncc(C)c3)ccc2CNc2nc(C#N)c(C#N)[nH]2)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CC1C=NC=C(B2OC(C)(C)C(C)(C)O2)C=1,N#CC1N=C(N)[NH]C=1C#N,neg_control,expt007,440.51100000000025,2.7078800000000003
OpenDEL0031-22-39-435,22,39,435,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(N(C)C)c3)ccc2CNc2cccc(F)c2C)C1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CN(C1C=CC=C(B(O)O)C=1)C,CC1C(N)=CC=CC=1F,neg_control,expt007,460.5970000000002,5.0515200000000045
OpenDEL0031-22-394-378,22,394,378,CCOc1ccccc1NCc1ccc(-c2cc3[nH]ncc3cc2C)cc1N1CC[C@@H](C(=O)NC)C1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C1C=C2C(C=N[NH]2)=CC=1C)O,CCOC1C=CC=CC=1N,neg_control,expt007,483.61600000000027,5.121420000000004
OpenDEL0031-22-394-690,22,394,690,CNC(=O)[C@@H]1CCN(c2cc(-c3cc4[nH]ncc4cc3C)ccc2CNc2n[nH]cc2C2CCC2)C1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C1C=C2C(C=N[NH]2)=CC=1C)O,NC1=N[NH]C=C1C2CCC2,neg_control,expt007,483.62000000000035,4.713320000000003
OpenDEL0031-22-394-964,22,394,964,CNC(=O)[C@@H]1CCN(c2cc(-c3cc4[nH]ncc4cc3C)ccc2CNc2ccccc2Cl)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C1C=C2C(C=N[NH]2)=CC=1C)O,NC1C=CC=CC=1Cl,neg_control,expt007,474.00800000000027,5.376120000000005
OpenDEL0031-22-417-1508,22,417,1508,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(F)c3CO)ccc2CNC(C2CCC2)C(F)(F)F)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB1OCC2=C1C=CC=C2F,FC(C(C1CCC1)N)(F)F,neg_control,expt007,493.5450000000003,4.377900000000004
OpenDEL0031-22-417-449,22,417,449,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(F)c3CO)ccc2CNc2ccc(F)cc2C)C1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB1OCC2=C1C=CC=C2F,FC1C=CC(N)=C(C)C=1,neg_control,expt007,465.54400000000027,4.616920000000004
OpenDEL0031-22-417-49,22,417,49,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(F)c3CO)ccc2CNc2ccc(C)cc2C)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB1OCC2=C1C=CC=C2F,CC1C=CC(N)=C(C)C=1,neg_control,expt007,461.5810000000003,4.786240000000004
OpenDEL0031-22-417-617,22,417,617,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(F)c3CO)ccc2CNc2cccc3oc(C)nc23)C1,7,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB1OCC2=C1C=CC=C2F,CC1=NC2=C(C=CC=C2N)O1,neg_control,expt007,488.56300000000033,4.6190200000000035
OpenDEL0031-22-417-665,22,417,665,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(F)c3CO)ccc2CNc2ccc(Cl)cc2C)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB1OCC2=C1C=CC=C2F,ClC1C=CC(N)=C(C)C=1,neg_control,expt007,481.99900000000025,5.131220000000004
OpenDEL0031-22-417-778,22,417,778,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(F)c3CO)ccc2CNc2cc(C3(C)CC3)on2)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB1OCC2=C1C=CC=C2F,NC1=NOC(C2(CC2)C)=C1,neg_control,expt007,478.5680000000004,4.208900000000003
OpenDEL0031-22-419-327,22,419,327,CNC(=O)[C@@H]1CCN(c2cc(-c3cc(-c4ccccc4)nn3C)ccc2CN2CCN3C(=O)CCC3C2)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,C1C=CC(C2=NN(C)C(B3OC(C)(C)C(C)(C)O3)=C2)=CC=1,O=C1CCC2N1CCNC2,neg_control,expt007,512.6580000000005,3.133000000000002
OpenDEL0031-22-439-1417,22,439,1417,CCCCn1ncc(C)c1NCc1ccc(-c2ccn(C)c(=O)c2)cc1N1CC[C@@H](C(=O)NC)C1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C(C=CN(C)C1=O)=C1)O,CCCCN1N=CC(C)=C1N,neg_control,expt007,476.6250000000003,3.5417200000000015
OpenDEL0031-22-439-452,22,439,452,CCOc1cc(F)ccc1NCc1ccc(-c2ccn(C)c(=O)c2)cc1N1CC[C@@H](C(=O)NC)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C(C=CN(C)C1=O)=C1)O,CCOC1C=C(F)C=CC=1N,neg_control,expt007,478.56800000000027,3.7745000000000024
OpenDEL0031-22-439-796,22,439,796,CNC(=O)[C@@H]1CCN(c2cc(-c3ccn(C)c(=O)c3)ccc2CNc2cccc(Cl)c2C)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C(C=CN(C)C1=O)=C1)O,NC1C=CC=C(Cl)C=1C,neg_control,expt007,464.9970000000002,4.198520000000003
OpenDEL0031-22-440-1180,22,440,1180,CNC(=O)Nc1ccc(-c2ccc(CNC3CCc4ccccc4C3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NC1CCC2=C(C=CC=C2)C1,neg_control,expt007,511.6700000000003,4.324300000000004
OpenDEL0031-22-440-1219,22,440,1219,CCN1CCCN(Cc2ccc(-c3ccc(NC(=O)NC)cc3)cc2N2CC[C@@H](C(=O)NC)C2)CC1=O,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CCN1CCCNCC1=O,neg_control,expt007,506.6510000000004,2.7314000000000007
OpenDEL0031-22-440-124,22,440,124,CC[C@H](C)CNCc1ccc(-c2ccc(NC(=O)NC)cc2)cc1N1CC[C@@H](C(=O)NC)C1,7,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CC[C@@H](CN)C,neg_control,expt007,451.61500000000024,3.8129000000000017
OpenDEL0031-22-440-1253,22,440,1253,CNC(=O)Nc1ccc(-c2ccc(CNc3cncc(F)c3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,12,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NC1C=NC=C(F)C=1,neg_control,expt007,476.55600000000027,3.823400000000002
OpenDEL0031-22-440-1293,22,440,1293,CCn1nnc(NCc2ccc(-c3ccc(NC(=O)NC)cc3)cc2N2CC[C@@H](C(=O)NC)C2)n1,8,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CCN1N=NC(N)=N1,neg_control,expt007,477.57300000000026,2.2957
OpenDEL0031-22-440-1299,22,440,1299,CNC(=O)Nc1ccc(-c2ccc(CNc3cc(C)c(C)cc3Cl)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,33,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CC1C=C(Cl)C(N)=CC=1C,neg_control,expt007,520.0770000000003,5.559540000000005
OpenDEL0031-22-440-1304,22,440,1304,CNC(=O)Nc1ccc(-c2ccc(CN(CCC#N)C(C)C)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,N#CCCNC(C)C,neg_control,expt007,476.6250000000002,3.801280000000002
OpenDEL0031-22-440-1428,22,440,1428,CNC(=O)Nc1ccc(-c2ccc(CN(C)Cc3cc(C)on3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,8,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CNCC1=NOC(C)=C1,neg_control,expt007,490.6080000000003,3.605620000000002
OpenDEL0031-22-440-1434,22,440,1434,CNC(=O)Nc1ccc(-c2ccc(CNCCOc3cccnc3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,8,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NCCOC1C=CC=NC=1,neg_control,expt007,502.61900000000026,3.240800000000001
OpenDEL0031-22-440-1553,22,440,1553,CCCn1cnnc1CN(C)Cc1ccc(-c2ccc(NC(=O)NC)cc2)cc1N1CC[C@@H](C(=O)NC)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CCCN1C=NN=C1CNC,neg_control,expt007,518.6660000000002,3.3107000000000015
OpenDEL0031-22-440-1621,22,440,1621,CNC(=O)Nc1ccc(-c2ccc(CN3CCS(=O)(=O)[C@H](C)C3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,C[C@@H]1CNCCS1(=O)=O,neg_control,expt007,513.6640000000003,2.296100000000001
OpenDEL0031-22-440-1692,22,440,1692,CNC(=O)Nc1ccc(-c2ccc(CNC3CCN(C(C)(C)C)C3=O)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NC1CCN(C(C)(C)C)C1=O,neg_control,expt007,520.6780000000003,3.1662000000000017
OpenDEL0031-22-440-1794,22,440,1794,CNC(=O)Nc1ccc(-c2ccc(CNc3ccc(OC)nc3OC)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,COC1C=CC(N)=C(OC)N=1,neg_control,expt007,518.6180000000004,3.701500000000002
OpenDEL0031-22-440-1917,22,440,1917,CNC(=O)Nc1ccc(-c2ccc(CNc3cn(C4CCC4)nc3C)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CC1=NN(C2CCC2)C=C1N,neg_control,expt007,515.6620000000005,4.519220000000004
OpenDEL0031-22-440-193,22,440,193,CNC(=O)Nc1ccc(-c2ccc(CNCc3ccc(Cl)nc3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NCC1C=CC(Cl)=NC=1,neg_control,expt007,507.0380000000003,4.015400000000003
OpenDEL0031-22-440-2065,22,440,2065,CNC(=O)Nc1ccc(-c2ccc(CNC3CC4(CCCCC4)C3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NC1CC2(CCCCC2)C1,neg_control,expt007,503.69100000000043,4.879700000000004
OpenDEL0031-22-440-2265,22,440,2265,CNC(=O)Nc1ccc(-c2ccc(CNCC3CC4(CCC4)C3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NCC1CC2(CCC2)C1,neg_control,expt007,489.6640000000004,4.347100000000004
OpenDEL0031-22-440-2642,22,440,2642,CNC(=O)Nc1ccc(-c2ccc(CNc3nnc(C4CC4)[nH]3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NC1=NN=C(C2CC2)[NH]1,neg_control,expt007,488.5960000000003,3.2848000000000015
OpenDEL0031-22-440-2688,22,440,2688,CNC(=O)Nc1ccc(-c2ccc(CN3CCS(=O)(=O)CC3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,O=S1(CCNCC1)=O,neg_control,expt007,499.63700000000034,1.9076000000000006
OpenDEL0031-22-440-2746,22,440,2746,CNC(=O)Nc1ccc(-c2ccc(CNc3cn(CC(C)C)nc3C)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,8,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CC(CN1C=C(N)C(C)=N1)C,neg_control,expt007,517.6780000000003,4.450220000000003
OpenDEL0031-22-440-421,22,440,421,CNC(=O)Nc1ccc(-c2ccc(CNc3ccn(CCOC)n3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,COCCN1C=CC(N)=N1,neg_control,expt007,505.6230000000004,3.132200000000001
OpenDEL0031-22-440-463,22,440,463,CNC(=O)Nc1ccc(-c2ccc(CNc3cc(C)ccc3C#N)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,10,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,N#CC1C=CC(C)=CC=1N,neg_control,expt007,496.6150000000003,4.469400000000004
OpenDEL0031-22-440-54,22,440,54,CNC(=O)Nc1ccc(-c2ccc(CNc3cc(C(N)=O)ccc3C)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,18,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NC(C1C=CC(C)=C(N)C=1)=O,neg_control,expt007,514.6300000000003,3.696620000000002
OpenDEL0031-22-440-583,22,440,583,CNC(=O)Nc1ccc(-c2ccc(CNc3cccc(C(F)F)c3)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,27,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,NC1C=CC=C(C(F)F)C=1,neg_control,expt007,507.58500000000026,5.226900000000004
OpenDEL0031-22-440-588,22,440,588,CCCOc1ccc(NCc2ccc(-c3ccc(NC(=O)NC)cc3)cc2N2CC[C@@H](C(=O)NC)C2)cc1,10,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CCCOC1C=CC(N)=CC=1,neg_control,expt007,515.6580000000004,5.078100000000003
OpenDEL0031-22-440-672,22,440,672,CCCC1C(=O)NCCN1Cc1ccc(-c2ccc(NC(=O)NC)cc2)cc1N1CC[C@@H](C(=O)NC)C1,14,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CCCC1NCCNC1=O,neg_control,expt007,506.65100000000024,2.7777000000000003
OpenDEL0031-22-440-682,22,440,682,CCCn1ncc(C)c1NCc1ccc(-c2ccc(NC(=O)NC)cc2)cc1N1CC[C@@H](C(=O)NC)C1,18,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CCCN1N=CC(C)=C1N,neg_control,expt007,503.65100000000024,4.204220000000003
OpenDEL0031-22-440-901,22,440,901,CCc1ccc(CN(C)Cc2ccc(-c3ccc(NC(=O)NC)cc3)cc2N2CC[C@@H](C(=O)NC)C2)cc1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CNCC1C=CC(CC)=CC=1,neg_control,expt007,513.6860000000004,4.8716000000000035
OpenDEL0031-22-440-933,22,440,933,CNC(=O)Nc1ccc(-c2ccc(CN(C)Cc3cnccc3C)c(N3CC[C@@H](C(=O)NC)C3)c2)cc1,8,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CNC(NC1C=CC(B2OC(C)(C)C(C)(C)O2)=CC=1)=O,CNCC1C=NC=CC=1C,neg_control,expt007,500.6470000000003,4.012620000000003
OpenDEL0031-22-441-373,22,441,373,CCOc1ccc(OC)cc1-c1ccc(CN(C)c2ccccc2)c(N2CC[C@@H](C(=O)NC)C2)c1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CCOC1C=CC(OC)=CC=1B(O)O,CNC1C=CC=CC=1,neg_control,expt007,473.61700000000025,4.969600000000003
OpenDEL0031-22-441-583,22,441,583,CCOc1ccc(OC)cc1-c1ccc(CNc2cccc(C(F)F)c2)c(N2CC[C@@H](C(=O)NC)C2)c1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CCOC1C=CC(OC)=CC=1B(O)O,NC1C=CC=C(C(F)F)C=1,neg_control,expt007,509.5970000000002,5.882900000000005
OpenDEL0031-22-464-373,22,464,373,CNC(=O)[C@@H]1CCN(c2cc(-c3cc(F)c(F)cc3F)ccc2CN(C)c2ccccc2)C1,9,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C1C=C(F)C(F)=CC=1F)O,CNC1C=CC=CC=1,neg_control,expt007,453.5080000000002,4.979600000000004
OpenDEL0031-22-464-376,22,464,376,CNC(=O)[C@@H]1CCN(c2cc(-c3cc(F)c(F)cc3F)ccc2CNc2ccc(C)cc2F)C1,7,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C1C=C(F)C(F)=CC=1F)O,CC1C=CC(N)=C(F)C=1,neg_control,expt007,471.4980000000002,5.402820000000005
OpenDEL0031-22-464-384,22,464,384,CCC(C)c1ccccc1NCc1ccc(-c2cc(F)c(F)cc2F)cc1N1CC[C@@H](C(=O)NC)C1,8,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C1C=C(F)C(F)=CC=1F)O,CCC(C1C=CC=CC=1N)C,neg_control,expt007,495.5890000000002,6.468800000000006
OpenDEL0031-22-464-701,22,464,701,CNC(=O)[C@@H]1CCN(c2cc(-c3cc(F)c(F)cc3F)ccc2CNc2cc(Cl)ccc2F)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C1C=C(F)C(F)=CC=1F)O,ClC1C=CC(F)=C(N)C=1,neg_control,expt007,491.91600000000017,5.747800000000003
OpenDEL0031-22-468-40,22,468,40,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(OC(F)(F)F)c3)ccc2CNc2cc(F)c(C)cc2F)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,FC(OC1C=CC=C(B(O)O)C=1)(F)F,CC1C=C(F)C(N)=CC=1F,neg_control,expt007,519.5140000000001,6.023220000000005
OpenDEL0031-22-479-582,22,479,582,CNC(=O)[C@@H]1CCN(c2cc(-c3ccoc3)ccc2CNc2cccc(C#N)c2)C1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C1C=COC=1)O,N#CC1C=CC=C(N)C=1,neg_control,expt007,400.4820000000002,4.0026800000000025
OpenDEL0031-22-495-34,22,495,34,CCOc1ccc(NCc2ccc(-c3cccc(C(C)O)c3)cc2N2CC[C@@H](C(=O)NC)C2)c(F)c1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CC(C1C=CC=C(B(O)O)C=1)O,CCOC1C=CC(N)=C(F)C=1,neg_control,expt007,491.60700000000026,5.129100000000005
OpenDEL0031-22-495-642,22,495,642,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(C(C)O)c3)ccc2CNc2cccc(F)c2F)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CC(C1C=CC=C(B(O)O)C=1)O,NC1C=CC=C(F)C=1F,neg_control,expt007,465.5440000000002,4.869500000000004
OpenDEL0031-22-495-9,22,495,9,CNC(=O)[C@@H]1CCN(c2cc(-c3cccc(C(C)O)c3)ccc2CNc2cccnc2)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,CC(C1C=CC=C(B(O)O)C=1)O,NC1C=CC=NC=1,neg_control,expt007,430.5520000000002,3.9863000000000026
OpenDEL0031-22-499-449,22,499,449,CNC(=O)[C@@H]1CCN(c2cc(-c3ccc(C)cc3OC)ccc2CNc2ccc(F)cc2C)C1,6,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,COC1C=C(C)C=CC=1B(O)O,FC1C=CC(N)=C(C)C=1,neg_control,expt007,461.58100000000024,5.302540000000005
OpenDEL0031-22-502-767,22,502,767,CNC(=O)[C@@H]1CCN(c2cc(-c3ccnc(C)c3)ccc2CNc2ccc(Cl)c(C)n2)C1,5,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,OB(C1C=CN=C(C)C=1)O,NC1C=CC(Cl)=C(C)N=1,neg_control,expt007,449.9860000000003,4.598240000000003
OpenDEL0031-22-513-1597,22,513,1597,CNC(=O)[C@@H]1CCN(c2cc(-c3ccc(OC)s3)ccc2CN2CCOC(F)(F)C2)C1,10,O=CC1C=CC(Br)=CC=1N2CC[C@@H](C(=O)O)C2,COC1=CC=C(B2OC(C)(C)C(C)(C)O2)S1,FC1(CNCCO1)F,neg_control,expt007,451.53900000000027,3.421000000000002
